,text,
1454,@PupWildeHund Ha I had something similar from my doc!,n
1455,no offence but can harry come back to london soon pls,n
1456,SPANISH GOLD  by Carlos Valiente @SalonCV 🌟🌟🌟 Nature elements and textures of the Earth &gt;&gt;&gt; https://t.co/IVDVFjhSXQ https://t.co/IcA70hhTjZ,n
1457,"@kelseabettsx Sorry we missed this Kelsea, did you let the Manager know you weren't happy with your food?",n
1458,@STEMcollege what week do we go back on?,n
1459,3 days into 2017 and a black cat runs in front of me :),
1460,"Harry Potter! @ London, United Kingdom https://t.co/rKhimRc56w",
1461,"First class of year last night, great start, feeling amazing #newyearnewstart #newbeginnings  #motivation #team… https://t.co/3PjjjLSjke",
1462,"New year and this is Nox nu/future Underground. Closer than you think. Online and instore.
#UNDERGROUND_SOUNDWAVE… https://t.co/B72Dlb4Pli",
1463,We're #hiring! Read about our latest #job opening here: International Channel Account Manager -… https://t.co/EyMIgzSQ2D,
1464,"@Lara_A_Williams Just emailed - sorry for last minute, intermittent wifi xx",
1465,@city9320 @Ian_Ladyman_DM @BumperGraham @spanishpappy Club admitted they had misled. Ask them,
1466,Brilliant - this diagram should be on every tweet/article/newscast of #Brexit from now on. https://t.co/tYWTA4B5Vn,
1467,@amandakatelacey @_biancaalfieri take this L quietly and move on x https://t.co/tXkFAcZ2mj,
1468,Also be a pal and RT cos your friends can't be any worse than you are and I'm ok with that.,
1469,hello from the other side https://t.co/F2pj65MX2T,
1470,How thick these lady can be is exact type of my choice of woman #Bashorungha @ Covent Garden London https://t.co/05p1x31558,
1471,At least once a week bro me n @MerkyACE ritual. We have a discount card and the McDonald's is sticky. We want the o… https://t.co/QcRD424LiT,
1472,Finding #ALDUBSoars2017 https://t.co/nuAbVEUBbG,
1473,Wow not long to go #CBB tonight now that's my tv sorted now @bbuk,
1474,What about a #VirginMojito for a #healthy start of #2017 🍹any #NewYearsResolution you'd like to share? @CoqdArgent1 https://t.co/BG8wLixQaW,
1475,@ourrachblogs Yeah it was missing a certain 'rawness',
1476,Have you registered onto our website yet?! https://t.co/Nz5cW1iCe7 - I always appreciate feedback #recruitment… https://t.co/DQIZzrrbyL,
1477,@PupWildeHund Also: Now have your address and will commence stalking.,
1478,@danbeam getting chuckles from your github pic :-),
1479,"Nosebleed territory!! (@ Haggerston London Overground Station in London, Greater London) https://t.co/Culz461HeQ https://t.co/xTrDrBLs77",
1480,"Just spoken to @VodafoneUK customer services. Have never felt so shafted in my life. Awful, awful company.",
1481,@AFChymnSheet you forgot don't shave grown an awesome beard!,
1482,@VicAdvisor @UKBlogAwards @elladvornik @travelmadmum @WearewhatwedoGR Thanks Victoria! 😃,
1483,@vickysussexx 😂😂😂 that was me,
1484,"@movermanPJ Check out book ""Decca Studios and Klooks Kleek""-Decca gone now @E_N_O &amp; Klooks was next door at @TheRailwayNW6 #WestHampstead",
1485,Have you registered for our Women In Leadership conference yet? https://t.co/mDXPsHVtY9 #WIL16 https://t.co/fOW4MbgrPo,
1486,"@DrFulli @profjamiehh @SameiHuda Thank you. Just posted one a couple of days ago https://t.co/IMTbi00tR4
Not had much time as been very busy",
1487,Just came across an old pick of yours!! https://t.co/w5vZnNsvEO,
1488,@adamrickitt me too!!,
1489,"-
You fall, i pick you up 💚",
1490,First trip of year to china 🍜back on 14th for the masters,
1491,The post-Christmas/ birthday return home unpacking and washing marathon is into its 6th hour - send help! 😩😩😩,
1492,"Play by Goapele is #nowplaying in Harrods, London.",
1493,"@lucyliz Have a safe flight, Lucy! 💕",
1494,"US stocks to open sharply higher on China data, oil price spike https://t.co/crnZJ2z18d via @proactive_NA $XRX $KORS",
1495,@carmenafi_ relationship status,
1496,There is still time to REGISTER your interest for #U19T20 in Norfolk for the 2017 season - https://t.co/OnK0c1XvIq… https://t.co/BprloaPUw8,
1497,@mad_typist thanks Jessie. Loved working with you and our inspirational sixth-floor eng team. Keep up the great work.,
1498,Looking forward to seeing my first film of 2017 later. @PassengersMovie with @Catherine4822 @CineworldNotts,
1499,@BTabrum this is based on the work of experts?,
1500,Great to see so many new faces at our kids Bjj and judo workshop. Having a great time! #2017 #trysomethingnew… https://t.co/mTJcuwwSnv,
1501,"Working on herd mobility report: 100% housed, sand cubicles, 11,000L sold, 55% 100d in calf, 375d CI #healthycows https://t.co/wQBZcbE7xs",
1502,@city9320 @Ian_Ladyman_DM @BumperGraham @spanishpappy Not been employed by Mirror for more than two years,
1503,Charming. https://t.co/xDFCJ5jZ2s,
1504,@BungayTownFC  Mind you if @jeremycorbyn ever did get into power - I don't think you would be able to afford one,
1505,@larithenriques Dexter,
1506,"@OmarBaggili @melaniekmelvin @thefabians @guardian I fear it goes much, much deeper than mere regional interests: https://t.co/hHD9WS9Dgy",
1507,Are Cadbury mini eggs gluten free? I hope it is. I've just had a hole pack. #gluten #celiacproblems,
1508,Thank you x https://t.co/E3nYpTgnCC,
1509,"#BackToWork blues getting you down? Treat yourself to a pamper at #thebeautyboxhq with Express Treatments for just £19.50 
01280 816554",
1510,@myhermes expecting parcel today but slight confusion on delivery so courier has taken back. Please can it be redelivered? Thank you,
1511,You hear those dreamy stories of people receiving £000s back when they make their PPI claims. So I did mine. Return so far? £150 😂,
1512,@SCepalovic happy birthday my dear xxx,
1513,"@iamanthonyjames She has popped two out, she now stars in the ""busted vagina"" category.",
1514,DESIGNER! Visitor admires the ceiling in front of @moragmyerscough's work at the new… https://t.co/fYajBJKrq5,
1515,"@drinkrelaxplay Uhm. There wasn't even Space Invaders, let alone FIFA.",
1516,@JayKay_Arinze they were not taking part in the competition most teams weren't. It was as easy af to win 5. You've won 11 over ....,
1517,Proud Family on repeat.,
1518,@Naysayerz wot u doin,
1519,"'Those who read or listen to our stories see everything as though #ThroughALens...In our brief mortal lives, we are #GrindersOfTheseLenses'",
1520,@larithenriques How I Met Your Mother,
1521,"really disappointed in the @karlhenry08 news he is just what we need in this league, hope the rumours are not true",
1522,@carmenafi_ fave colour,
1523,@RShepNotts justin edinburgh?,
1524,@GrahamBowes well done Graham. Amazing how much detail you got in such a short duration 👍,
1525,@Hapimag_UK just received my Pre-Arrival info 😊😊Happy Days,
1526,That moment you realise you haven't done your #taxreturn yet 😩,
1527,"@AI3x78 @LONblackcabbie @MilitantCab @thomasthetaxi @davebenidorm166 @stephenhdg Consultations are only advisory,not binding! Pointless!",
1528,@jonathanwalsh_ I see cheers .. you reckon he would be able to cope with Championship football? What's his position?,
1529,Nike's year📈 https://t.co/lp8ZoWAi8k,
1530,@andybowersmcfc @TheDaisyCutter1 when you say media which part and why do you think that is....non sarcastic question,
1531,"@We_AreTown  that same Cheltenham side still ran away with the Vanarama title last Spring, should be at least midway in League 2 table now.",
1532,I'll be very happy with Jed Wallace and Karl Henry signing. Get in another defender and it will be a decent window. #Millwall,
1533,Looking for a tennis partner for 2017.  Beginner/intermediate https://t.co/moiAtqsiSv,
1534,@bbuk buzzing !! X,
1535,@frankneo12 I beg your pardon?,
1536,LEAF LORE Turn over a new leaf - book your growing workshop today! https://t.co/b1hP3TC0mq,
1537,"Stuff I like about my model for the economy: it largely resolves issues of inequality, poverty &amp; (probably) unemployment welfare dependency.",
1538,Team motive8's 2017 #FitnessGoals : m8's @robclarke_m8 is toning up to look his best on the beaches of Vietnam this… https://t.co/aEkPjPuRRF,
1539,@dearaunty #Brexit means #Brexshit,
1540,I will not shop. I will not shop. I will not shop. I will shop. @… https://t.co/A8vfWgpfJk,
1541,"Remember, they don't like experts. 🙄 https://t.co/q0jVXleawt",
1542,@sueveneer and there are moomin tree deccies too.,
1543,"My wallet right now... US dollars, Dominican pesos, British pounds and some Euros... someone help me through all these coins!! 😂😂💰🌎💰",
1544,@georgiejwhite  #BriefAsPhotos #LateNightReading #DissertationMemories #ReadingForever #Berger of course,
1545,"Jackson Pollocks at the #AbstractExpressionist show @royalacademy 
#WanderPhyl @ London, United… https://t.co/nqjmo8F4gJ",
1546,@RobHarris broken English surely you are reading more into it than you need to be,
1547,@MinnieMcGee @mufcshirts fake account but quite the parody lol,
1548,"@mm684 @WomenEd 

Yes, and worrying for future development of leaders. https://t.co/bMmmucC2kx",
1549,just watched isis burn turkish soldiers that is horrible,
1550,@JayKay_Arinze that means you won 5 in 5 years and won 6 is 45797563257 years 🙄,
1551,I think I'll retire on that #PPI,
1552,No milk in the office.. drinking black tea. #FirstDayBackAtWorkProblems https://t.co/4r00gy8DyL,
1553,"But is he really training? Because remember Toby's injury was a ""small problem"" 👀😂 https://t.co/veICePAvSj",
1554,If u don't wanna speak to me tell me instead of sending me mixed signals thanks x,
1555,"Joan Baez: ""Brothers In Arms"" - https://t.co/0pZUMOjg2X",
1556,@HarryChapman96 josh do done well https://t.co/ciWW5L2WBE,
1557,"Just posted a photo @ London, United Kingdom https://t.co/0hqI1AIAQz",
1558,@griffman2 @crazyplansdaily @gingerpembers Haha! Doing a dry January. So easy after all the ale I had over Christmas. Sick of it!,
1559,@DrFulli @profjamiehh @SameiHuda Ever the gentleman &amp; peacekeeper 😀,
1560,LOVE THIS #Blockchain Dilbert Cartoon By Scott Adams. Gartner Puts Blockchain At The Peak of Hype in 2016 MT… https://t.co/fSLPgkrBhq,
1561,"@Nigel_Farage @baalbecbrass @jeremycorbyn the ones who don,t want it are traitors and muslims",
1562,"@dr_shibley @peterwalker99 Apologies. My misunderstanding.  Peter, any thoughts on this? https://t.co/hHD9WS9Dgy",
1563,@LordRajjack it's all love,
1564,"Jimi Hendrix would've loved these I'm sure, me too..., if they're in the SALE @randbofficial #russellandbromley… https://t.co/4sB94IX7ug",
1565,"Costs may be dominating consumers thoughts on the railways, but our friends @greateranglia are striving to give free wifi to all by 2019.",
1566,@insidewrite1957 @neilayates @LancashireFA it's safe till the 7th when you're back,
1567,Going to two events around #WorldTBDay in March: @ucl #tuberculosis symposium https://t.co/Ny5Mqxzl5u and @RoySocMed https://t.co/uSFH6R8iek,
1568,When you just wake up after a night flight ....#barbados what an epic December #thatchmaswedding… https://t.co/Gl7quJtrgj,
1569,"Hello 2017, thanks for deleting all my emails on my first day of work!!",
1570,"@MikeLiggins Mike, reckless doesn't appear in Rule 11 so far as I can see https://t.co/Uya6kqPEAD",
1571,@RobBrennan82 We are positive down The Den!,
1572,Soulja just upset he got dropped from Love &amp; Hip Hop.,
1573,ffs just poured a sachet of sugar over my pasta thinking it was salt 😩,
1574,"I heard a joke about Heidi Klum and polar bears and I can't get the phrase ""seal DNA in their stomach"" out of my head.",
1575,Moretime i don't even give a dash,
1576,@HarrisJOfficial #AskHarrisJ what's the most favorite place you've been to?,
1577,What's up guys and gals! Finally a day off work! Time for a stream! Let's see how many times my internet drops out! @Team_INI @SUKnives,
1578,@PupWildeHund Put them in action :),
1579,Ootd featuring Tower Bridge 🇬🇧🌉#carohocouturegoestolondon  #london #england #toweroflondon #pink… https://t.co/riktLoTTFS,
1580,"Can you recommend anyone for this #job in #London, England? https://t.co/PbDTZHdste #Marketing #Hiring #CareerArc",
1581,Lmao you are a moose. I would be worried if you were good looking but you are repulsive looking. https://t.co/JJFJolCSfH,
1582,Donated #ALDUBSoars2017 https://t.co/RD4qkmguUi,
1583,Everyone's back to work status with the captions kill me now! Can't wait to get home etc. Do what you love you'll never work a day again ☕️,
1584,I don't judge her if she hold her own,
1585,Just posted a photo @ London King's Cross Station https://t.co/FTDzpYVv4A,
1586,Writing music again with my old songwriting partner Bechstein. He was born the same year I was… https://t.co/3PyiRaqS5E,
1587,"@KaitlynnPhilpot if you want fizzy go for Coke Zero or diet that's what I do, bless you! You got this girl xxxx",
1588,Make 2017 the Year you get qualified in digital marketing &amp; get the career you deserve. Ask for details or check out @ProfAcademy #cim,
1589,"and another cat has been bitten in the back, a nice abscess for each fang...",
1590,@city9320 @Ian_Ladyman_DM @BumperGraham @spanishpappy Club stated Lampard was on loan. He wasn't. Was he?,
1591,@HarvesterUK received £40 voucher  in email but never got the code to be able to use the voucher have emailed got nothing back !!!,
1592,"I'm getting an injection in my butt tomorrow. 
I can't say I'm very excited.",
1593,@JayKay_Arinze you won't 3 season trophies in 10 season.  Bad for a big team like Madrid c'mon let's agree on that,
1594,"😋😋😋 @ London, United Kingdom https://t.co/82ojPIYiKz",
1595,@iamanthonyjames Flappy Bird Queen,
1596,Dentists call to end 'workplace cake culture' - https://t.co/S6DdDUNrhB Biscuits &amp; cake w/ coffee too much sugar @BBCNews,
1597,"Big Brother Vibrant Set to Kick Off Tonight at 9pm
 2017 https://t.co/zVxjAEsxiV",
1598,Super Stoked to be having @rundemcrew in residency every Thursday night at #broadwaymarket join… https://t.co/NZ6sP2zMCn,
1599,@SpursOfficial @JanVertonghen @kylewalker2 @ErikLamela  Hurry Up Coco we miss you!,
1600,@gcosgreave no patience for that,
1601,"@CB1eagle @paddypower I saw that earlier!! Made me laugh!!! To be fair, you don't normally drop them!!",
1602,"https://t.co/qtd6k6w36h 

Shower.. Then come laugh at my mad skills!",
1603,Have you registered for our Women In Leadership conference yet? https://t.co/mDXPsHVtY9 … #WIL17 https://t.co/uJj2dCoSZi,
1604,"@seeingstars76 @Greenie01 Thank you so much for all of these, I'm so excited for some great food.",
1605,Hunter of rats and rabbits. https://t.co/OtdKPro05K,
1606,@HarrisJOfficial #AskHarrisJ are you ever gonna cut your hair really short,
1607,@andyo83 I think they are both close to being done,
1608,Bit rusty! Gone from +60 to - 140...,
1609,Grey is the new black! Check out BEHERE&amp;LOVE Namaste jumper on @BritishVogue as recommended by @calgaryavansino… https://t.co/VWb2ID1zp1,
1610,"#Disabled people need a voice!

Former #paralympian left feeling humiliated after no working disabled toilets on a 3 hour train journey",
1611,It's on! @WeirdBeard_Brew Black Perle Coffee Milk Stout Come and get it #craft beer #stout https://t.co/mS9hSlD5II,
1612,First day back to work!! 🤔,
1613,love♡ https://t.co/aeCypkpNMR,
1614,I'm at TRAID in London https://t.co/kPeQHmYVJ3,
1615,I know that feeling. Wished people understood! https://t.co/BCuCvC4mW2,
1616,When Jah blesses you with another year 😌 https://t.co/gTpeQwXrAg,
1617,@SophieherX hello! It would be SO GOOD if professionals could take this masking/meltdown cycle on board rather than blaming parents!,
1618,You have no idea how happy it makes me that my boobs hurt when I run now,
1619,@drinkrelaxplay OMG! Rude! I'm 43 not a pensioner! Humph!!!,
1620,So typical that like a week after my warranty ends my iPhone starts going down in battery even when it's charging 🙄@AppleSupport ur so cruel,
1621,What a gentlemen @Ben_Davies33 is !! Met a hero of mine today !!!,
1622,"Oops, they forgot to put the handbrake on. https://t.co/wZXtzn69Uu",
1623,@StiofanOb @TheDaisyCutter1 I think the profile of the club also mourinho gets stick ....klopp and conte seem in honeymoon mode still,
1624,@dr_shibley Ditto. It is sloppy at best and deliberately misleading at worst.,
1625,Thank you 😌 https://t.co/4Hm40erGeF,
1626,Located #ALDUBSoars2017 https://t.co/RD4qkmguUi,
1627,@tedtully Yeah but people who vote them must agree with them = Fllthy scum,
1628,@kitsune - will tracks for days 11 &amp; 12 of your advent calendar be available soon? Thanks.,
1629,@WEAYL Another year's pension allowance tucked away?,
1630,"I just bought: 'STAR WARS B9803EL20 ""The Black Series Princess Leia Organa"" Toy' by Star Wars via @AmazonUK https://t.co/GENaziqu1Q",
1631,Happy New Year! - from all at Hanson Zandi #hcsm #newyear https://t.co/xUk879GVZn,
1632,@BrioniloveKymx @LeahhCopeland anytime,
1633,@JeffsPhotoLife yes sir 👊🏽,
1634,Hey look! It's another chance to sit across the desk from me! https://t.co/sF967BstPz,
1635,@TheRealNickJury noooo. That's James Watson. DNA?,
1636,Technically a winning owner thanks to @BritRacingClub #happydays #superiorcommand,
1637,#middaysun #london #towerbridge #toweroflondon #recce @ Tower of London https://t.co/mQDJNb59q0,
1638,How is this even possible? 😳 https://t.co/64g0BL5Lam,
1639,"@thomasthetaxi example, lap to Canary Wharf xmas eve, rate 3, airport charge, plus £4-00 extras, getting on £100-00, get it?....",
1640,@VieiraPaddy https://t.co/KaSmjDFbCp that'll get it back for you,
1641,@Deeniebean89 @pilliarscreatio great effort 😃,
1642,@BarclaysUKHelp im not entitled to hear the pin for my new card ... its been over 5 days since i recieved the card,
1643,@doctorcaldwell Then perhaps need to educate everyone as to what DNACPR means?,
1644,Decided to find an American BBQ place before I fly tomorrow. Although it's empty I like the feel… https://t.co/A1lw8cGdXe,
1645,@carmenafi_ as it would give it away these are my fave songs from each of those bands so chose the band basically,
1646,i ordered a sillisponge and i'm so excited to get it,
1647,Took a fascinating tour by London Walks - The Lure of the Underground. Another brilliant choice by @judyhoctor. https://t.co/prOB13cwjR,
1648,"Almost ran over 3 horses at home this morning, strong start to the year",
1649,"In fairness, it's probably my own fault. O2 and EE offer a vastly superior service to @VodafoneUK but I was lured in by a roaming deal.",
1650,@samgelder Sure!,
1651,Reported #ALDUBSoars2017 https://t.co/RD4qkmguUi,
1652,@Skepta just needs to release a mixtape where he's just spittin pure filth,
1653,Hope all you students have done your work early in the holidays?! #backtowork https://t.co/PoGL6vQB0p,
1654,@__pennyroyaltea @danocdj We can get through this together. God willing. Go safe young blood.,
1655,@C_T_S Hi! What is your order number? We will look in this now for you!,
1656,@jackdarton_ 😂😂 the way that man tried attacking him and the other guy behind the camera was just ripping into him,
1657,About to hit the road to bournemouth #awayday #bruisedbanana @ Emirates Arsenal Stadium https://t.co/aj3EUzfP5i,
1658,Reverted #ALDUBSoars2017 https://t.co/RD4qkmguUi,
1659,@inappropriate_m @Josusmozas ideal 👸,
1660,How do you miss three horses in your mirrors???,
1661,@EmilSiebrandt just report both profiles,
1662,@HoroBurr me too.   I worked there for ten years and managed some stores eventually.,
1663,@StiofanOb @TheDaisyCutter1 although even with conte before this run he went on there was paper tall about him getting sacked,
1664,"@sueveneer Christmas stuff
https://t.co/OoFTJ0Ab2U
and I've just spotted the perfect bowl for the cats... better win the lottery",
1665,"@anilkseth Isn't TMS (EM field -&gt; perturb consciousness) neurophenomol? Also, EM -&gt;neural synchcrony exps in C.Koch's and D.McCormick's labs",
1666,"@bobandweave26 @ChelseaFC @harry_bradley69 hope we can, i want rodriguez and a CM/CB",
1667,@GooRee always a pleasure mate. Great to see your work go from strength to strength. Stay in touch.,
1668,"@MerryBombadillo the suits they give you are pretty darn good. The water was cold though 2deg, as it's fresh off a glacier. Bloomin' great.",
1669,@Qantas how can a change fee to stop off in Dubai cost over £430 when a return flight from LHR for exactly the same dates is under £300!!!,
1670,@BarclaysUKHelp i have answered all security questions however its still not secure ... pretty pony if u ask me,
1671,@Bane_Jnr 😂😂😂 you know them ones,
1672,"I'm at London @HeathrowAirport in Hounslow, Greater London https://t.co/k0bkM7GCXM",
1673,@jackie_pobbo I think so https://t.co/V4XbazBibC,
1674,"Algorithm v employee. Algorithm wins, employee disciplined and suspended. https://t.co/qGXLgHuLvb",
1675,@MissTwice some people think lawyer = smartest person in the room/don't have to bother with anyone else. Tis v v bad etiquette.,
1676,@hgabrown thank you for being my no1 fangirl https://t.co/K6ju5BDixr,
1677,@PaulKingsley16 @PompeyGoat i think in fairness we've probably just stereotyped each other.,
1678,Gotta say pretty much everything @Arron_banks tweets is bang on the money,
1679,.@TheXFactor winner @MattTerry93 is on the latest #BigFridayShow #podcast with @JAYJAMES &amp; @DJHalStewart. LISTEN &gt;… https://t.co/QZC8uwVVN0,
1680,Grrrrr. Not rocket science. If by giving your children too much sugar in their breakfast cereal its making them overweight then don't buy it,
1681,Which brand is Better 🤔,
1682,@Crystallise_ fingers tightly crossed,
1683,@moomadeb @_MiltonKeynes @Faulko1 @mkfm Mikey will be missed... xx,
1684,She keep on callin' me zaddy⁰That lil baby got a fatty🔊🔊🔊,
1685,"Welcoming 2017 with a post about all the things, #London has taught me so far: https://t.co/yeDBYku5Ze… https://t.co/iyumE7qIMu",
1686,I just finished cycling 2.53 miles in 11m:54s with #Endomondo #endorphins https://t.co/qKWEzhSr5u,
1687,@christofflennon @dollyalderton indeed not. Nor do I want my base touched.,
1688,"What is Kinesiology Tape?

Kinesiology tape was first developed in the 1970's by Dr Kenso Kase… https://t.co/qzjqpff87v",
1689,"@thetravellingmo it's amazing there at night, enjoy 👌🏻",
1690,When he knows your loan is gonna drop some time soon https://t.co/qZtHBcZB4J,
1691,Missing this jungle !! #cave #Cenotes #Tulum #Nature #Sunshine 🇲🇽🌈🦋⭐️ @ Notting Hill https://t.co/oh4UWNTyl2,
1692,Cos when I see them thighs on her and them hips on her and them lips on her got me daydreaming man what,
1693,@r_jacz yes please!,
1694,@BrentfordFC @KingJota such a fantastic sight - return of the King!,
1695,"Finland is giving 2,000 citizens a guaranteed income https://t.co/2lpN0VbA9q #Business https://t.co/KBeTXWNesp",
1696,"@MikeLiggins Accept cd come w/in ""serious foul play"" but runs risk of regular reds during most engl. games unless properly manged/contained",
1697,@hannahjames40 Yep and in the meantime Police could simply 'jam' the airwaves to make control of these drones impossible,
1698,"@lennythepen @garywiv3 @hill_hotmail @MilitantCab A grass for not being intimidated by a Neanderthal,I'll take that!",
1699,@ndandpuk Thanks for following! Will 2017 be the year you find your DREAM #Cotswolds home? Like us at https://t.co/7rA7m6QIey...,
1700,I need to get my ass into gear I'm waking up way too late to be having my 5:30 am alarm start again next week😬,
1701,@cassia_rei I'm not islamophobic I just feel some of the treatment of women within the religion is disgusting,
1702,@thecolourfulowl Thanks for following! Will 2017 be the year you find your DREAM #Cotswolds home? Like us at https://t.co/7rA7m6QIey...,
1703,Transported  #ALDUBSoars2017 https://t.co/RD4qkmguUi,
1704,AN EVENING WITH THE FA CUP STRIKERS OF WEST HAM UNITED  https://t.co/N9IdutfxX2,
1705,@joelhuds The only th,
1706,@Anthony______B Thanks for following! Will 2017 be the year you find your DREAM #Cotswolds home? Like us at https://t.co/7rA7m6QIey...,
1707,GROWING PROTEIN IN A POT April 10th Book your workshop today! https://t.co/b1hP3TC0mq,
1708,Not in Nigeria. No electricity https://t.co/1Cl90TYdb9,
1709,@TheAnfieldWrap Aah almost nailed it,
1710,"I've been waiting in on a parcel, that is not, and apparently was never, due to arrive today.",
1711,"@East_of_Dulwich we think (feel?) it does, or something like it. ""Sense of self""? Something like that.",
1712,@SuperMarioMugan @bbuk it looks a little bit strange,
1713,I'm definitely not qualified to be doing some of the things my work gets me to do,
1714,@ChipGrumbler Thanks for following! Will 2017 be the year you find your DREAM #Cotswolds home? Like us at https://t.co/7rA7m6QIey...,
1715,@dearaunty I think it will GE time any day now,
1716,Her favourite place throughout UK @ Sherlock Holmes Museum https://t.co/cDGvpGJ6Gs,
1717,@EmilyThompson85 this though,
1718,@GJGBTL231 good afternoon. I'm good thanks. And yourself?,
1719,".@BarclaysUKHelp Your live chat support team are terrible, I have had multiple people ignore me, leave the chat and be rude to me. Sort it.",
1720,"Yeah Science, Bitch! 😃 #BreakingBad https://t.co/WLqeW9gaRu",
1721,Isit on the 6th or 7th ? https://t.co/sfAH199UXr,
1722,"As great as this is parents should of heard a falling dresser, also should not allowed kids this young alone https://t.co/UBjMo9howV",
1723,welcome 2017! &amp; thankyou to all who came to CHROMAs crackers JG campaign wraps up on Fri just X more days to donate! https://t.co/Qm9luKa170,
1724,Feeling overly romantic (thank you #gin) so gonna watch the amazing @juliedelpy trilogy #beforesunrise #beforesunset #BeforeMidnight b2b :),
1725,"If you are looking for a venue for a party give us a call about our function room, we cater all occasions. https://t.co/B5FW9KODLW",
1726,#HappyNewYear! #healthystart today at our #milktuesdaymeeting 🍓🍌💪🏼#nocaketoday 🙅🏼🥐🍩 https://t.co/XWSj4DQGkR,
1727,@barneycarroll other than a great name? An attempt to do scroll in a more componenty way with React Router,
1728,The most precious  birthday gift of them all..... #LeBaba #UnconditionalLove #HappyDaddy Thanks… https://t.co/4F82xKUE1R,
1729,"Yes, let's just stop walking in the middle of bluewater, take a selfie and make everyone else walk around us. Some people are thick as shit",
1730,@jokeplease420 i devoured mine in five minutes,
1731,Next Soul Night is on Sat Jan 21st 7pm till late!! Free entry!! #motown #soulmusic #stax #freeevent https://t.co/A6HnVdzAXr,
1732,Happy 2017 peeps! ❤✌🏼 Got a right fresh sea start in Salcombe massive. https://t.co/aC93457f95,
1733,"A special thank you to @JRsBBQ for announcing @WOSWrestlingITV 
You made #WorldOfSportWrestling fans dreams come tr… https://t.co/KTDzHo5bAH",
1734,Am I allowed to include my own thoughts this morning for this game? https://t.co/1f2oCM1ssP,
1735,@cassia_rei and it should not be justified by a fictional book with as much credibility as 'Harry Potter',
1736,Back to work with this little miracle worker #firstdefence #vicks #everyoneshouldbuyit #IdontworkforVicks 😁 https://t.co/FQCSUaooZm,
1737,@GodivaUK xxx done xxx,
1738,Finding the new @PETAUK #veganuary campaign oddly similar to my campaign idea for Veganism I did a few months ago f… https://t.co/oDvMO4e7ov,
1739,@PaulKingsley16 @PompeyGoat But the idea Britain has no responsibility to world's poorest got my back up. We absolutely do have one.,
1740,"@sueveneer oh this is perfect!
https://t.co/B3Mu6VGarz",
1741,Remarkable ! https://t.co/JJIpB7GH2M,
1742,@NationalGallery This Is One Of The Paintings That Feat. In The Excellent #GrandTour Partnership @HP In 2007. #Soho… https://t.co/imvdoFMsuV,
1743,@chrisphin We are always open to ideas and don’t have every moment scheduled. Cheers!,
1744,@tedtully The present Labour set-up is unelectable - You see,
1745,@n_speller I have absolutely no idea,
1746,@Defencebrief @_Jardy_ it'd save a fortune in appeal costs.,
1747,Why am I ill all the time😖,
1748,@ed_saye #nopromisedland @Foundry_Gallery has been extended until 26 Jan so still time to see these haunting painti… https://t.co/j6c5H0OMrc,
1749,@drinkrelaxplay Hmm.. almost forgiven :P,
1750,"Alex has recently become the conductor with this https://t.co/Ircxq0JLll Symphony No. 2 from @johncraneltd
Get… https://t.co/VkivsDWPQE",
1751,@lonnoydt was hungry hehe xx,
1752,"@obknit

They'll all probably get work at Arup, in BoJo's team or at Heatherwick Studio.",
1753,@joelhuds The only thing dry should be your mouth the next morning,
1754,@Totally_Tack Thank you 😊 X,
1755,Inspiring talk from legendary #garyoldman - thank you! @garyoldman58 @TheatreRoyalDL @TheActorsCentre,
1756,@thatigbogurl__ Im sorry its called Crowdfire https://t.co/OvQ5YPfcog,
1757,@MadNad @AlasdairStuart @jakebible Where do you get the dried buttermilk?,
1758,"@moovva Thanks for following, and great to connect in the property industry! Please give us a like at https://t.co/7rA7m6QIey #happytoreturn",
1759,"First run of 2017, just 124 runs to go!! #newweapons #NRC #NikePlus #TIMBOruns @ Richmond Park https://t.co/x94ZZoTO4q",
1760,rose-cunted glasses,
1761,@elodiexroux could've at least put a pillow case on it,
1762,Hi @markydeedrop the Hallmark is expected to be completed in 2019. Keep an eye on our Twitter feed for further updates,
1763,Shiny shiny 😬 https://t.co/Goa5mefcVi,
1764,@MellerAndy sharing ideas for #P4C from @makethinkingfun to end the afternoon at @CCJacademy. Great stimulus for ge… https://t.co/Gwkmd8n8U6,
1765,@dearaunty Like #Cameron before her she will say anything to appease and silence the plebs,
1766,"Colour and cut by junior stylist

Winter brunette using @wellacolour glossing to create a rich… https://t.co/DIa4bLKKK1",
1767,@RobBrennan82 That's us being friendly,
1768,"Time to fix up, look sharp @ruffians #CoventGarden https://t.co/DFBAvlXl3Y",
1769,@comfunding1 Thanks for following! Will 2017 be the year you find your DREAM #Cotswolds home? Like us at https://t.co/7rA7m6QIey...,
1770,Thank you x https://t.co/dLe0OgC7I6,
1771,Anyone I  know using the unit test code coverage results in Xcode? I'm seeing some odd resutls,
1772,@PaintCleanMove Thanks for following! Will 2017 be the year you find your DREAM #Cotswolds home? Like us at https://t.co/7rA7m6QIey...,
1773,@DementiaAdv most welcome :-),
1774,Which gym is your home gym &amp; which one is your uni gym? 💪👀 https://t.co/NRsSHe1MA9,
1775,"Woah! 😮

BBC News - Time-lapse footage of Beijing smog https://t.co/tt8K42w2V2",
1776,"UK ambassador to EU quits amid Brexit row

https://t.co/SBe9UPF8Lh",
